CustomerID,CustomerName,Gender,Age,City,State,JoinDate
C001,Sakshi Jagtap,Female,49,Pune,Maharashtra,2024-02-19
C002,Amit Nair,Female,33,Pune,Maharashtra,2023-11-05
C003,Meera Verma,Male,51,Bangalore,Karnataka,2023-01-07
C004,Rahul Verma,Female,40,Nagpur,Maharashtra,2023-09-30
C005,Rahul Nair,Female,36,Nagpur,Maharashtra,2024-07-29
C006,Vikas Sharma,Male,44,Pune,Maharashtra,2024-05-16
C007,Vikas Gupta,Male,37,Pune,Maharashtra,2024-04-08
C008,Meera Jagtap,Male,21,Mumbai,Maharashtra,2023-05-27
C009,Sneha Joshi,Female,27,Ahmedabad,Gujarat,2024-11-23
C010,Rahul Jagtap,Male,28,Mumbai,Maharashtra,2024-03-23
C011,Anjali Singh,Female,37,Ahmedabad,Gujarat,2024-01-22
C012,Isha Gupta,Female,21,Hyderabad,Telangana,2023-05-17
C013,Isha Gupta,Female,32,Nagpur,Maharashtra,2024-09-24
C014,Priya Nair,Male,22,Mumbai,Maharashtra,2024-08-19
C015,Rohan Jagtap,Female,52,Bangalore,Karnataka,2023-02-19
C016,Rahul Reddy,Female,35,Nagpur,Maharashtra,2023-11-11
C017,Meera Sharma,Female,42,Hyderabad,Telangana,2024-03-26
C018,Sakshi Verma,Male,40,Mumbai,Maharashtra,2024-05-01
C019,Pooja Verma,Male,48,Ahmedabad,Gujarat,2024-02-05
C020,Ajay Jagtap,Male,32,Pune,Maharashtra,2023-04-15
C021,Amit Sharma,Female,55,Ahmedabad,Gujarat,2023-04-15
C022,Priya Verma,Female,39,Ahmedabad,Gujarat,2023-02-06
C023,Isha Gupta,Male,53,Bangalore,Karnataka,2024-07-30
C024,Sneha Gupta,Male,28,Nagpur,Maharashtra,2024-07-18
C025,Anjali Jagtap,Male,24,Ahmedabad,Gujarat,2024-09-14
C026,Neha Nair,Male,53,Hyderabad,Telangana,2024-05-30
C027,Rahul Sharma,Male,46,Pune,Maharashtra,2024-05-09
C028,Neha Jagtap,Male,49,Delhi,Delhi,2023-02-17
C029,Nikhil Gupta,Female,40,Pune,Maharashtra,2024-09-01
C030,Neha Jagtap,Female,26,Nagpur,Maharashtra,2023-03-27
C031,Sakshi Reddy,Male,29,Ahmedabad,Gujarat,2023-11-10
C032,Sakshi Jagtap,Male,44,Mumbai,Maharashtra,2023-01-03
C033,Amit Singh,Male,43,Ahmedabad,Gujarat,2023-01-08
C034,Rohan Joshi,Male,37,Nagpur,Maharashtra,2024-06-17
C035,Anjali Kulkarni,Female,44,Pune,Maharashtra,2023-06-19
C036,Ajay Verma,Male,44,Hyderabad,Telangana,2024-03-11
C037,Anjali Joshi,Male,23,Nagpur,Maharashtra,2024-09-18
C038,Isha Reddy,Male,50,Hyderabad,Telangana,2024-02-12
C039,Karan Gupta,Female,40,Chennai,Tamil Nadu,2024-07-08
C040,Ajay Kulkarni,Male,28,Nagpur,Maharashtra,2024-03-11
C041,Neha Nair,Male,27,Delhi,Delhi,2023-09-15
C042,Ajay Joshi,Female,37,Hyderabad,Telangana,2023-06-22
C043,Neha Verma,Female,36,Chennai,Tamil Nadu,2023-07-02
C044,Rahul Jagtap,Male,36,Mumbai,Maharashtra,2023-03-10
C045,Karan Singh,Female,35,Delhi,Delhi,2024-10-27
C046,Nikhil Kulkarni,Male,25,Nagpur,Maharashtra,2023-10-01
C047,Sakshi Gupta,Female,34,Hyderabad,Telangana,2024-11-27
C048,Anjali Reddy,Female,51,Hyderabad,Telangana,2023-01-24
C049,Meera Kulkarni,Male,40,Mumbai,Maharashtra,2023-10-02
C050,Amit Patil,Male,50,Bangalore,Karnataka,2024-11-12
