EmployeeID,EmployeeName,Department,Salary,City
E001,Neha Kulkarni,IT,73575,Bangalore
E002,Neha Verma,Operations,37585,Delhi
E003,Karan Singh,HR,47555,Nagpur
E004,Neha Kulkarni,HR,87567,Nagpur
E005,Isha Kulkarni,Operations,77635,Bangalore
E006,Sakshi Gupta,Finance,55358,Ahmedabad
E007,Neha Joshi,Marketing,68396,Chennai
E008,Isha Jagtap,Operations,72594,Bangalore
E009,Neha Nair,Operations,58892,Pune
E010,Meera Singh,Marketing,65465,Nagpur
E011,Sakshi Nair,HR,80325,Bangalore
E012,Rahul Nair,Operations,36247,Delhi
E013,Isha Reddy,Marketing,37016,Bangalore
E014,Sneha Reddy,Finance,60475,Bangalore
E015,Karan Gupta,HR,78694,Nagpur
E016,Neha Sharma,Finance,83251,Ahmedabad
E017,Priya Sharma,Sales,76763,Bangalore
E018,Rohan Gupta,Sales,30648,Hyderabad
E019,Ajay Nair,HR,60131,Mumbai
E020,Sakshi Patil,Sales,30871,Delhi
E021,Vikas Singh,IT,45775,Hyderabad
E022,Karan Singh,HR,67299,Ahmedabad
E023,Pooja Gupta,IT,85086,Bangalore
E024,Arjun Reddy,Finance,86844,Nagpur
E025,Ajay Reddy,Sales,33658,Delhi
E026,Arjun Nair,HR,89568,Mumbai
E027,Anjali Verma,HR,82370,Nagpur
E028,Ajay Patil,Operations,39625,Chennai
E029,Karan Nair,Finance,47044,Bangalore
E030,Pooja Nair,Marketing,41623,Pune
E031,Neha Verma,HR,73058,Delhi
E032,Nikhil Jagtap,HR,77304,Pune
E033,Ajay Verma,Marketing,65195,Delhi
E034,Pooja Gupta,IT,64044,Ahmedabad
E035,Meera Joshi,Operations,67346,Mumbai
E036,Neha Nair,IT,30373,Mumbai
E037,Priya Gupta,Operations,60164,Hyderabad
E038,Vikas Joshi,Sales,84392,Nagpur
E039,Anjali Kulkarni,Finance,32899,Chennai
E040,Sakshi Kulkarni,HR,80284,Chennai
E041,Neha Jagtap,HR,55379,Mumbai
E042,Vikas Patil,Operations,77642,Delhi
E043,Vikas Joshi,IT,80907,Chennai
E044,Meera Jagtap,Operations,70920,Delhi
E045,Pooja Singh,IT,47769,Chennai
E046,Nikhil Reddy,Operations,73518,Bangalore
E047,Nikhil Kulkarni,Sales,69451,Chennai
E048,Neha Singh,Operations,51858,Delhi
E049,Nikhil Reddy,IT,59465,Bangalore
E050,Arjun Jagtap,Sales,48192,Mumbai
